gene	adj_pval	log_fc	clone	scores
AL450345.1	1.0	19.342607	G	0.03336731
AL138921.1	1.0	19.31471	G	0.03336731
AC005841.1	1.0	19.554277	G	0.03336731
AC078785.2	1.0	19.315228	G	0.03336731
LINC00637	1.0	20.07658	G	0.03336731
GPR183	1.0	19.194025	G	0.03336731
ZEB2-AS1	1.0	19.505148	G	0.03336731
AP001993.1	1.0	19.25827	G	0.03336731
RNASE13	1.0	20.417416	G	0.03336731
AC005609.3	1.0	19.315283	G	0.03336731
PTPRD-AS2	1.0	19.315218	G	0.03336731
GALNTL6	1.0	18.551226	G	0.03336731
PCDH19	1.0	19.432999	G	0.03336731
AC004775.1	1.0	18.8703	G	0.03336731
AL645608.2	1.0	18.999823	G	0.03336731
AC093484.4	1.0	20.064322	G	0.03336731
AL590133.1	1.0	19.217443	G	0.03336731
ZYG11A	1.0	19.292072	G	0.03336731
AC073525.1	1.0	18.831621	G	0.03336731
PRLR	1.0	19.84136	G	0.03336731
ACKR2	1.0	20.149536	G	0.03336731
AC022973.3	1.0	19.443897	G	0.03336731
LINC01950	1.0	19.611351	G	0.03336731
TBR1	1.0	19.114384	G	0.03336731
AC022558.2	1.0	19.088087	G	0.03336731
AC113361.1	1.0	19.12479	G	0.03336731
HID1-AS1	1.0	19.856104	G	0.03336731
AL031590.1	1.0	19.428574	G	0.03336731
AC010082.1	1.0	19.59372	G	0.03336731
AL451085.1	1.0	19.306623	G	0.03336731
ASCL5	1.0	19.922773	G	0.03336731
TEX45	1.0	19.35034	G	0.03336731
AC097359.3	1.0	18.992609	G	0.03336731
AL365199.1	1.0	20.072733	G	0.03336731
CU634019.1	1.0	19.788998	G	0.03336731
AL353581.1	1.0	19.428406	G	0.03336731
AC078962.3	1.0	19.830582	G	0.03336731
CDH7	1.0	19.028673	G	0.03336731
FUT3	1.0	19.05831	G	0.03336731
AC078820.1	1.0	19.723526	G	0.03336731
AC025419.1	1.0	18.638142	G	0.03336731
CPLX3	1.0	19.450361	G	0.03336731
CYP1A2	1.0	18.79395	G	0.03336731
LINC02323	1.0	19.031778	G	0.03336731
GIMAP8	1.0	19.428238	G	0.03336731
ACER1	1.0	18.687456	G	0.03336731
AC117490.2	1.0	19.519665	G	0.03336731
MIR122HG	1.0	19.893133	G	0.03336731
TNNT3	1.0	19.481968	G	0.03336731
CTAGE9	1.0	19.756523	G	0.03336731
AL157871.1	1.0	19.482412	G	0.03336731
DPP6	1.0	19.168158	G	0.03336731
AL133325.3	1.0	19.707863	G	0.03336731
AC090971.2	1.0	18.198753	G	0.03336731
GAPDHS	1.0	19.331789	G	0.03336731
AC019193.2	1.0	19.659922	G	0.03336731
BARX1	1.0	18.863304	G	0.03336731
LINC00996	1.0	19.090406	G	0.03336731
AC090970.2	1.0	19.839865	G	0.03336731
AC006482.1	1.0	19.61149	G	0.03336731
AC027228.1	1.0	20.062754	G	0.03336731
AC090821.1	1.0	19.127333	G	0.03336731
AC007557.3	1.0	19.262083	G	0.03336731
POU3F3	1.0	19.826515	G	0.03336731
TAS2R43	1.0	19.027418	G	0.03336731
AMPD1	1.0	19.05178	G	0.03336731
PRTFDC1	1.0	19.027664	G	0.03336731
TNFAIP2	1.0	19.78556	G	0.03336731
AC103923.1	1.0	19.276865	G	0.03336731
TAGLN3	1.0	19.638592	G	0.03336731
SMIM17	1.0	19.319239	G	0.03336731
AC079145.1	1.0	18.875332	G	0.03336731
PRSS40A	1.0	19.571466	G	0.03336731
AC108099.1	1.0	19.269701	G	0.03336731
OR2A5	1.0	19.563957	G	0.03336731
LIMS2	1.0	20.021645	G	0.03336731
F2RL3	1.0	19.332586	G	0.03336731
EPHB1	1.0	19.60964	G	0.03336731
MROH9	1.0	19.253765	G	0.03336731
AL162171.2	1.0	19.952345	G	0.03336731
AP003027.1	1.0	19.355158	G	0.03336731
FAM239C	1.0	19.210278	G	0.03336731
AC093835.1	1.0	19.30572	G	0.03336731
SIGLEC14	1.0	19.926508	G	0.03336731
SERPINB10	1.0	19.28987	G	0.03336731
BX547991.1	1.0	18.515388	G	0.03336731
LINC00908	1.0	19.016369	G	0.03336731
AL033527.2	1.0	19.703981	G	0.03336731
C2orf16	1.0	19.093267	G	0.03336731
AC005696.4	1.0	19.301523	G	0.03336731
WNT7A	1.0	20.029171	G	0.03336731
LINC02072	1.0	19.350529	G	0.03336731
ZFY	1.0	19.01314	G	0.03336731
REEP1	1.0	19.527313	G	0.03336731
MARCH10	1.0	20.035957	G	0.03336731
AC004540.1	1.0	19.117422	G	0.03336731
C9orf47	1.0	19.231663	G	0.03336731
AC025171.3	1.0	19.055141	G	0.03336731
LYZ	1.0	19.54028	G	0.03336731
PLPP7	1.0	18.703857	G	0.03336731
C21orf91-OT1	1.0	19.72734	G	0.03336731
AL136985.2	1.0	19.672571	G	0.03336731
AC022710.1	1.0	19.594568	G	0.03336731
AL662791.1	1.0	19.066795	G	0.03336731
VWDE	1.0	19.680563	G	0.03336731
FAM72B	1.0	19.569218	G	0.03336731
LEFTY1	1.0	18.687279	G	0.03336731
AC079354.1	1.0	18.980932	G	0.03336731
STUM	1.0	19.461323	G	0.03336731
IL9R	1.0	18.975567	G	0.03336731
VWA1	1.0	19.228174	G	0.03336731
OR51E2	1.0	19.506094	G	0.03336731
AC137590.2	1.0	20.010834	G	0.03336731
GLS2	1.0	-0.08877975	G	0.03336731
SLFN12L	1.0	19.23786	G	0.03336731
AL359198.1	1.0	19.688208	G	0.03336731
TDO2	1.0	19.987888	G	0.03336731
AL031985.4	1.0	19.586649	G	0.03336731
AL451042.1	1.0	19.51635	G	0.03336731
AC007495.1	1.0	19.836792	G	0.03336731
AC022517.1	1.0	18.7139	G	0.03336731
LINC01235	1.0	19.660767	G	0.03336731
AC073569.2	1.0	18.68105	G	0.03336731
SLC39A2	1.0	20.0434	G	0.03336731
OR11G2	1.0	19.034538	G	0.03336731
TAS1R1	1.0	19.691494	G	0.03336731
TMSB4Y	1.0	0.1318376	G	0.03336731
GDNF-AS1	1.0	18.451017	G	0.03336731
FAM225B	1.0	19.09748	G	0.03336731
AC019129.2	1.0	19.488943	G	0.03336731
AC009269.2	1.0	18.957209	G	0.03336731
AC104695.1	1.0	18.76288	G	0.03336731
AF131215.3	1.0	18.85631	G	0.03336731
ANXA10	1.0	-0.40035886	G	0.03336731
AC073569.1	1.0	19.47718	G	0.03336731
RAB43	1.0	18.990496	G	0.03336731
AC091167.6	1.0	19.99144	G	0.03336731
LINC01127	1.0	19.04766	G	0.03336731
LINGO4	1.0	19.269392	G	0.03336731
AL592211.1	1.0	19.255255	G	0.03336731
AC068768.2	1.0	19.564747	G	0.03336731
AC004672.1	1.0	19.519014	G	0.03336731
AL121895.2	1.0	18.763039	G	0.03336731
DPPA4	1.0	19.847872	G	0.03336731
AC008537.4	1.0	19.305857	G	0.03336731
C1orf61	1.0	19.197947	G	0.03336731
PHYHD1	1.0	19.494345	G	0.03336731
HEMGN	1.0	19.99175	G	0.03336731
AC103952.1	1.0	19.149792	G	0.03336731
AC084757.4	1.0	19.131643	G	0.03336731
CNTN1	1.0	19.534702	G	0.03336731
AC021422.1	1.0	18.38509	G	0.03336731
AC026992.2	1.0	20.332771	G	0.03336731
LINC00382	1.0	19.94602	G	0.03336731
CD96	1.0	18.845554	G	0.03336731
AC005304.1	1.0	18.78544	G	0.03336731
AC024614.4	1.0	19.445822	G	0.03336731
BHLHE22	1.0	19.979794	G	0.03336731
AC009163.6	1.0	19.29392	G	0.03336731
AC076966.1	1.0	19.098627	G	0.03336731
LINC00970	1.0	19.027817	G	0.03336731
AC024145.1	1.0	18.877743	G	0.03336731
AC004263.1	1.0	19.16125	G	0.03336731
AC025031.2	1.0	19.18491	G	0.03336731
AC026254.2	1.0	19.177197	G	0.03336731
TMC5	1.0	19.547918	G	0.03336731
AC009226.1	1.0	19.478004	G	0.03336731
FABP12	1.0	19.558418	G	0.03336731
OR6K3	1.0	19.920439	G	0.03336731
MKRN3	1.0	19.456596	G	0.03336731
LINC01951	1.0	19.24578	G	0.03336731
AL121899.1	1.0	19.458044	G	0.03336731
SPANXA2-OT1	1.0	19.48616	G	0.03336731
TMC1	1.0	19.458988	G	0.03336731
DMRTA2	1.0	19.379957	G	0.03336731
DCDC2	1.0	20.142214	G	0.03336731
AC078883.2	1.0	19.369204	G	0.03336731
AC022148.2	1.0	19.10539	G	0.03336731
PMP2	1.0	18.265556	G	0.03336731
MYL10	1.0	19.97186	G	0.03336731
AL121845.4	1.0	18.761425	G	0.03336731
AC067956.1	1.0	19.2626	G	0.03336731
PSG2	1.0	19.206814	G	0.03336731
AC009495.1	1.0	19.295538	G	0.03336731
AL133396.2	1.0	18.849445	G	0.03336731
PRR27	1.0	19.731968	G	0.03336731
AC009119.1	1.0	19.684093	G	0.03336731
AP001972.4	1.0	19.133333	G	0.03336731
AL121809.2	1.0	19.50982	G	0.03336731
TEK	1.0	19.621342	G	0.03336731
AC008753.2	1.0	19.083382	G	0.03336731
ASB14	1.0	19.241497	G	0.03336731
EPO	1.0	19.428324	G	0.03336731
HPD	1.0	19.082039	G	0.03336731
AC021755.3	1.0	19.24017	G	0.03336731
CHRNA7	1.0	19.754246	G	0.03336731
AC090912.1	1.0	19.334883	G	0.03336731
LINC00682	1.0	19.136665	G	0.03336731
AC060814.3	1.0	18.666245	G	0.03336731
AC090425.1	1.0	19.120256	G	0.03336731
AC069503.2	1.0	19.220541	G	0.03336731
LINC00323	1.0	19.798965	G	0.03336731
AC027338.1	1.0	19.621311	G	0.03336731
AP000547.2	1.0	18.881296	G	0.03336731
AL365356.1	1.0	19.343628	G	0.03336731
AC105446.1	1.0	19.14398	G	0.03336731
GPR75	1.0	-0.31795907	G	0.03336731
Z98259.3	1.0	19.365334	G	0.03336731
LINC01303	1.0	18.766052	G	0.03336731
TSPAN15	1.0	19.655516	G	0.03336731
TOX	1.0	19.045328	G	0.03336731
SMIM10L2B-AS1	1.0	19.419886	G	0.03336731
AL355482.1	1.0	19.499483	G	0.03336731
AP003900.1	1.0	19.649673	G	0.03336731
AL136301.1	1.0	19.132849	G	0.03336731
AL033381.2	1.0	18.830435	G	0.03336731
AL138831.2	1.0	19.41379	G	0.03336731
AP001020.3	1.0	19.350607	G	0.03336731
AP005901.2	1.0	18.720047	G	0.03336731
PRORY	1.0	18.850645	G	0.03336731
LINC01744	1.0	19.71221	G	0.03336731
AC040173.1	1.0	19.875797	G	0.03336731
AL359771.1	1.0	19.75763	G	0.03336731
AP002812.2	1.0	18.698416	G	0.03336731
LINC02225	1.0	19.781887	G	0.03336731
CYYR1	1.0	19.063204	G	0.03336731
AC108097.1	1.0	19.087252	G	0.03336731
ANP32D	1.0	19.354776	G	0.03336731
PPP1R36	1.0	19.372316	G	0.03336731
AC087362.1	1.0	19.072641	G	0.03336731
AC073257.1	1.0	18.884651	G	0.03336731
AC092376.2	1.0	19.269295	G	0.03336731
GPX2	1.0	19.498344	G	0.03336731
AC007786.2	1.0	19.61451	G	0.03336731
TRPV6	1.0	19.682323	G	0.03336731
ZNF559-ZNF177	1.0	19.550694	G	0.03336731
LINC01858	1.0	19.753653	G	0.03336731
AP000365.1	1.0	18.979446	G	0.03336731
AL138812.1	1.0	18.872822	G	0.03336731
AL132639.3	1.0	18.769556	G	0.03336731
NDUFC2-KCTD14	1.0	18.747808	G	0.03336731
SLC10A6	1.0	19.05226	G	0.03336731
INPP5D	1.0	19.718107	G	0.03336731
AC010649.1	1.0	19.188488	G	0.03336731
AL359094.1	1.0	19.381216	G	0.03336731
DLX3	1.0	19.714773	G	0.03336731
PPEF2	1.0	19.017647	G	0.03336731
AL121672.1	1.0	18.833572	G	0.03336731
AC130710.1	1.0	19.513737	G	0.03336731
AC008429.3	1.0	19.327614	G	0.03336731
AC007216.4	1.0	19.619799	G	0.03336731
AL592182.2	1.0	19.197504	G	0.03336731
TMEM212	1.0	19.41955	G	0.03336731
RTEL1	1.0	19.331823	G	0.03336731
LINC01669	1.0	18.912878	G	0.03336731
AC011369.1	1.0	19.272907	G	0.03336731
APBA2	1.0	19.572332	G	0.03336731
AC036222.1	1.0	18.973036	G	0.03336731
RIPPLY2	1.0	19.248219	G	0.03336731
ELN-AS1	1.0	19.788073	G	0.03336731
AIRE	1.0	20.136415	G	0.03336731
RUBCNL	1.0	19.166468	G	0.03336731
PDE1A	1.0	18.951845	G	0.03336731
LINC02129	1.0	19.223345	G	0.03336731
AC108517.1	1.0	18.96411	G	0.03336731
AC084816.1	1.0	19.406437	G	0.03336731
AC140125.2	1.0	19.165817	G	0.03336731
AC022915.2	1.0	19.854153	G	0.03336731
AC103949.1	1.0	19.575848	G	0.03336731
LINC01198	1.0	19.623404	G	0.03336731
FAM153A	1.0	19.722633	G	0.03336731
AC022098.3	1.0	19.55769	G	0.03336731
AC092067.1	1.0	18.691748	G	0.03336731
PHETA2	1.0	19.106049	G	0.03336731
AC104564.4	1.0	19.276007	G	0.03336731
AC011591.1	1.0	19.767534	G	0.03336731
AC004596.1	1.0	19.061129	G	0.03336731
AGT	1.0	19.758183	G	0.03336731
SMIM22	1.0	19.649796	G	0.03336731
ARAP1-AS2	1.0	19.80167	G	0.03336731
AC092620.3	1.0	19.747978	G	0.03336731
AC092118.1	1.0	19.457693	G	0.03336731
AC023855.1	1.0	18.851448	G	0.03336731
TRIM9	1.0	19.919868	G	0.03336731
KCNK15	1.0	19.086752	G	0.03336731
AC104170.1	1.0	19.669449	G	0.03336731
AC040918.1	1.0	19.265314	G	0.03336731
GPR4	1.0	19.020775	G	0.03336731
HOXB4	1.0	18.81555	G	0.03336731
NANOGP8	1.0	19.450382	G	0.03336731
AC010328.1	1.0	19.60852	G	0.03336731
TRIM55	1.0	19.023346	G	0.03336731
ASB18	1.0	18.748764	G	0.03336731
PYY	1.0	19.612967	G	0.03336731
TMEM78	1.0	19.377588	G	0.03336731
HIPK4	1.0	19.38923	G	0.03336731
GRM4	1.0	19.716305	G	0.03336731
AC113414.1	1.0	19.881844	G	0.03336731
OR1M1	1.0	19.490957	G	0.03336731
AL513318.2	1.0	19.585615	G	0.03336731
HSD17B3	1.0	19.087116	G	0.03336731
AP000322.2	1.0	19.614502	G	0.03336731
HLA-DOA	1.0	19.925379	G	0.03336731
NPIPB7	1.0	18.84536	G	0.03336731
AL355304.1	1.0	19.367521	G	0.03336731
AF279873.3	1.0	19.289083	G	0.03336731
NFAM1	1.0	19.65581	G	0.03336731
AL356277.2	1.0	19.902594	G	0.03336731
LINC01684	1.0	19.406075	G	0.03336731
AL589743.5	1.0	18.936571	G	0.03336731
AC008083.1	1.0	19.506226	G	0.03336731
AC007370.1	1.0	19.374674	G	0.03336731
BCL2L2-PABPN1	1.0	19.825518	G	0.03336731
OR7E24	1.0	19.560278	G	0.03336731
PNPLA5	1.0	20.147089	G	0.03336731
AL031281.2	1.0	18.53117	G	0.03336731
DCDC2B	1.0	18.925207	G	0.03336731
OR52H1	1.0	19.24982	G	0.03336731
OR2L2	1.0	19.360884	G	0.03336731
STAB1	1.0	19.53447	G	0.03336731
LINC01676	1.0	19.21097	G	0.03336731
AL691426.1	1.0	19.351343	G	0.03336731
LKAAEAR1	1.0	20.024752	G	0.03336731
AC008708.2	1.0	20.017218	G	0.03336731
AL031728.1	1.0	18.983793	G	0.03336731
NRN1L	1.0	19.408499	G	0.03336731
AC009955.2	1.0	18.993332	G	0.03336731
AC211486.2	1.0	18.931486	G	0.03336731
AC079466.1	1.0	19.633015	G	0.03336731
GOLGA8G	1.0	18.691044	G	0.03336731
AL391262.1	1.0	19.443249	G	0.03336731
CENPS-CORT	1.0	19.404627	G	0.03336731
FGF21	1.0	19.348753	G	0.03336731
ABALON	1.0	19.360317	G	0.03336731
TMPRSS12	1.0	18.911985	G	0.03336731
CACTIN-AS1	1.0	19.037807	G	0.03336731
SLC34A2	1.0	19.50876	G	0.03336731
FLT4	1.0	19.455122	G	0.03336731
AC024600.1	1.0	19.957472	G	0.03336731
AL356414.1	1.0	19.401543	G	0.03336731
LINC01607	1.0	18.574402	G	0.03336731
THNSL2	1.0	18.828724	G	0.03336731
B4GALNT2	1.0	19.542498	G	0.03336731
LINC00629	1.0	19.232231	G	0.03336731
AL513303.1	1.0	19.463367	G	0.03336731
ACTN1-AS1	1.0	18.405241	G	0.03336731
GRIN2D	1.0	19.338203	G	0.03336731
SERP2	1.0	19.798435	G	0.03336731
ATP11A-AS1	1.0	19.153591	G	0.03336731
CCDC3	1.0	19.22355	G	0.03336731
NRSN2	1.0	-0.024625838	G	0.033348784
KCND1	1.0	-0.17661698	G	0.033330254
AC092687.3	1.0	-0.38516393	G	0.03331173
PCDHGA12	1.0	-0.06933709	G	0.03323762
AC090772.3	1.0	-0.19245955	G	0.03323762
C19orf57	1.0	-0.3740626	G	0.03303382
SPAG5	1.0	-0.043632407	G	0.03297824
AL645728.1	1.0	-0.10942464	G	0.03297824
CXCL16	1.0	-0.030594023	G	0.032774445
ZXDA	1.0	-0.0053903786	G	0.032681808
ZNF888	1.0	-0.04382328	G	0.032644752
SMN1	1.0	-0.02100348	G	0.032366846
TBXAS1	1.0	0.16440795	G	0.031607237
HOXB-AS1	1.0	-0.037068862	G	0.031496074
PUSL1	1.0	0.07051086	G	0.031477544
TRIM26	1.0	-0.033913594	G	0.03135712
ZNF799	1.0	-0.12297509	G	0.03088468
TCP11L1	1.0	-0.007881083	G	0.030764252
PDPK1	1.0	-0.00016880933	G	0.030477082
BRF2	1.0	0.06188681	G	0.03046782
CDC37L1-DT	1.0	-0.07619993	G	0.03023623
COMMD10	1.0	-0.018509746	G	0.029773053
ZNF223	1.0	-0.26609766	G	0.029754525
MYADM	1.0	-0.034684412	G	0.0295322
HTRA2	1.0	-0.007269826	G	0.029513674
BDP1	1.0	-0.008391906	G	0.029161658
DHRSX	1.0	-0.0115811555	G	0.028985651
PCDHGB6	1.0	-0.14418864	G	0.028976386
PLCXD1	1.0	-0.09318966	G	0.028920805
RIT1	1.0	-0.044085022	G	0.028837433
PANK4	1.0	-0.021453928	G	0.028717007
PARS2	1.0	-0.059747715	G	0.028661426
ZNF761	1.0	-0.024967525	G	0.028253831
RECK	1.0	-0.0101480875	G	0.02812414
GALNT15	1.0	0.096661784	G	0.02806856
C12orf29	1.0	0.012567364	G	0.027308948
MCM6	1.0	0.056545373	G	0.02663271
PHF19	1.0	0.008881445	G	0.025660036
LYST	1.0	0.021772893	G	0.02553961
DDX51	1.0	0.014623055	G	0.025233913
BIVM	1.0	0.03639879	G	0.025150541
SGTA	1.0	0.01158046	G	0.024381666
ZNF569	1.0	0.033103306	G	0.02418713
L2HGDH	1.0	0.24204442	G	0.024103759
ZNF496	1.0	0.001709374	G	0.023344148
FAM118A	1.0	-0.01027074	G	0.023084769
MFSD5	1.0	-0.0076845028	G	0.023056978
HYPK	1.0	0.026298018	G	0.022677172
DPYSL4	1.0	0.05255579	G	0.02256601
KCNAB3	1.0	0.35645998	G	0.02183419
FAM184B	1.0	0.17086744	G	0.02173229
AC097468.3	1.0	0.13740817	G	0.02084299
PGBD4	1.0	-0.0062385513	G	0.020805934
TOMM40L	1.0	0.028054344	G	0.02074109
TRMT10B	1.0	-0.04414869	G	0.0207133
FAM227A	1.0	-0.0031968877	G	0.020694772
NPIPA1	1.0	0.2642711	G	0.020157486
GPATCH2L	1.0	0.021992296	G	0.019397875
RRN3	1.0	0.025389794	G	0.019370085
JUN	1.0	-0.0037445598	G	0.019240394
PSMB10	1.0	0.16507459	G	0.019138496
ZNF737	1.0	0.15680608	G	0.018906908
ATP2A1-AS1	1.0	0.17766614	G	0.018869853
MTFR1L	1.0	0.015714293	G	0.018814271
HSPA1L	1.0	0.013775858	G	0.018712373
KATNB1	1.0	0.017935919	G	0.018675318
BX537318.1	1.0	0.2774009	G	0.018656792
AL139339.2	1.0	0.4142429	G	0.018656792
AL662884.4	1.0	0.28209224	G	0.018517839
RPS6KA6	1.0	0.79045933	G	0.018462257
AC084824.5	1.0	-0.0016377216	G	0.018323304
AC020928.1	1.0	0.066439256	G	0.018091714
AC022382.1	1.0	0.30016962	G	0.018008342
KCNJ3	1.0	0.10818938	G	0.017962025
AC010997.5	1.0	0.12752137	G	0.01792497
CKMT1A	1.0	0.36140746	G	0.017878653
C12orf54	1.0	0.09900136	G	0.017860126
PLTP	1.0	0.31589347	G	0.017795281
STON1	1.0	0.049936913	G	0.0177397
AC090229.1	1.0	0.69689316	G	0.017721172
ZNF79	1.0	0.4258278	G	0.017674856
SLC14A1	1.0	-0.050870016	G	0.017647065
SYNGAP1-AS1	1.0	0.46749136	G	0.01761001
AC003965.1	1.0	0.1997753	G	0.017591484
IL10RB-DT	1.0	0.45758507	G	0.017554428
TSPAN19	1.0	0.12703027	G	0.017480321
C1GALT1C1L	1.0	0.313228	G	0.017415475
CKAP2L	1.0	0.017606385	G	0.017406212
ZNF296	1.0	0.17361301	G	0.017359894
PCDHGA1	1.0	0.20217338	G	0.01735063
TBX2	1.0	0.043480307	G	0.01735063
THBS4	1.0	0.011617304	G	0.017341368
AC093627.5	1.0	0.31994307	G	0.017332103
AP003068.1	1.0	0.49388784	G	0.017313577
CCDC26	1.0	0.5746254	G	0.017313577
AL109811.2	1.0	0.7541818	G	0.01729505
AC005224.4	1.0	0.20561422	G	0.017267259
AL117335.1	1.0	-0.060208574	G	0.017267259
IMPG2	1.0	0.07311938	G	0.017248731
AC068790.9	1.0	0.15266018	G	0.01719315
CLDN23	1.0	0.6511869	G	0.01719315
ESRP1	1.0	0.041528676	G	0.017183887
BATF3	1.0	0.15280111	G	0.017183887
AC019077.1	1.0	0.4033308	G	0.017174624
FAM71E1	1.0	0.30918968	G	0.01716536
HIST4H4	1.0	-0.059718058	G	0.017156096
YPEL4	1.0	0.28796974	G	0.017128306
AC005498.3	1.0	0.27389735	G	0.017128306
ANKRD24	1.0	0.15699387	G	0.017109778
AL359258.2	1.0	0.48616663	G	0.017100515
FRRS1L	1.0	0.5546042	G	0.017100515
EML6	1.0	-0.07733243	G	0.017091252
RPL38	1.0	0.027460158	G	0.017081987
AC078850.1	1.0	0.15141648	G	0.017072724
LRRC66	1.0	-0.025845664	G	0.017054196
AC009163.7	1.0	0.07848693	G	0.017054196
TNFRSF9	1.0	0.36352122	G	0.017044934
LSMEM2	1.0	1.5797775	G	0.017044934
SAMMSON	1.0	0.13208549	G	0.01703567
AL606491.1	1.0	0.42436546	G	0.01703567
AL139124.1	1.0	0.491396	G	0.01703567
KANK3	1.0	0.36544716	G	0.01703567
LINC00862	1.0	0.018316545	G	0.01700788
SSPO	1.0	0.74845976	G	0.01700788
AC006058.3	1.0	0.08336523	G	0.016998615
AL583810.2	1.0	0.12236419	G	0.016998615
NR4A1	1.0	0.3521836	G	0.016998615
LINC02341	1.0	0.960192	G	0.016989352
GLIDR	1.0	-0.10105668	G	0.016989352
AL021068.1	1.0	0.18505183	G	0.016989352
ACKR4	1.0	0.34771648	G	0.01698009
AC096564.2	1.0	0.22053148	G	0.01698009
EGFL7	1.0	0.026940072	G	0.01698009
ESR2	1.0	0.46933925	G	0.01698009
TTC31	1.0	0.06338978	G	0.016970824
AC004816.2	1.0	0.6205324	G	0.016970824
AC092040.1	1.0	-0.062873445	G	0.016970824
LINC00266-1	1.0	0.62633824	G	0.016970824
AC005480.1	1.0	0.90142995	G	0.016970824
TNXB	1.0	0.1730467	G	0.016970824
HIPK1-AS1	1.0	0.043626416	G	0.016970824
AC004490.1	1.0	0.109259926	G	0.016961562
AC109809.1	1.0	0.21860589	G	0.016961562
HTRA4	1.0	0.44105828	G	0.016961562
GP6	1.0	0.92625827	G	0.016952299
MAP7D2	1.0	0.7857712	G	0.016952299
BX649632.1	1.0	0.1751686	G	0.016952299
KREMEN2	1.0	0.74339926	G	0.016952299
CNR2	1.0	0.8345175	G	0.016952299
AC007262.2	1.0	0.645371	G	0.016952299
AC011365.1	1.0	0.09694557	G	0.016943034
DNAAF1	1.0	0.31244642	G	0.016943034
AL359643.2	1.0	0.39340523	G	0.016943034
PYCARD-AS1	1.0	0.14451411	G	0.016943034
TGM2	1.0	0.56961054	G	0.01693377
AL021453.1	1.0	0.32038844	G	0.016924508
AL592463.1	1.0	0.26698706	G	0.016924508
AL121672.2	1.0	0.38776526	G	0.016924508
LGALS4	1.0	0.36379978	G	0.016924508
VASH2	1.0	0.5438532	G	0.016915243
MST1R	1.0	0.503502	G	0.016915243
AL109917.1	1.0	0.09216258	G	0.016915243
LCK	1.0	0.058159225	G	0.01690598
AC092368.3	1.0	0.14609715	G	0.01690598
FGF5	1.0	-0.031018022	G	0.01690598
ACKR3	1.0	0.18412173	G	0.016896717
AC019117.1	1.0	0.52111775	G	0.016896717
AC107294.2	1.0	0.64239687	G	0.016896717
AC078883.1	1.0	0.46555927	G	0.016896717
TGDS	1.0	0.101038076	G	0.016896717
AL162586.1	1.0	0.16827413	G	0.016887452
AC007216.2	1.0	0.19218558	G	0.016887452
OR2V2	1.0	1.0817351	G	0.016887452
AL078644.2	1.0	0.193629	G	0.016887452
HGFAC	1.0	1.5501816	G	0.016887452
SSC4D	1.0	0.043313477	G	0.01687819
NPIPB13	1.0	0.31834847	G	0.01687819
CPEB1	1.0	0.9037192	G	0.01687819
AP001198.1	1.0	0.24898353	G	0.01687819
FAM71D	1.0	0.33982888	G	0.01687819
UBASH3B	1.0	-0.041348215	G	0.01687819
CARMIL2	1.0	1.2050245	G	0.016868927
AP000941.1	1.0	0.05846705	G	0.016868927
AL121761.1	1.0	1.0540885	G	0.016868927
AQP1	1.0	0.015210636	G	0.016868927
SNX15	1.0	1.0325274	G	0.016868927
LINC00954	1.0	-0.23212628	G	0.016868927
MARCKSL1	1.0	-0.056782965	G	0.016868927
FRZB	1.0	0.90389496	G	0.016868927
CYP4F26P	1.0	1.2858809	G	0.016868927
MYOM3	1.0	0.2701771	G	0.016859662
MGARP	1.0	0.03780815	G	0.016859662
ACHE	1.0	0.2614245	G	0.016859662
C15orf48	1.0	0.39426482	G	0.016859662
RHBDL2	1.0	0.47674724	G	0.016859662
GPR35	1.0	0.42289788	G	0.016859662
NCKAP1L	1.0	0.18409523	G	0.016859662
AC136443.3	1.0	0.58470786	G	0.016850399
SPRR2D	1.0	0.7938057	G	0.016850399
APBA1	1.0	0.9923719	G	0.016850399
ANK1	1.0	0.62759113	G	0.016850399
AC103740.2	1.0	0.6531537	G	0.016850399
AL627171.2	1.0	0.86419284	G	0.016850399
AF131216.1	1.0	1.059923	G	0.016850399
AL162713.1	1.0	0.47953346	G	0.016850399
SNAI1	1.0	0.65335774	G	0.016850399
ATP1A2	1.0	0.14958261	G	0.016841136
MYO16	1.0	0.08241097	G	0.016841136
SMIM11B	1.0	0.18368939	G	0.016841136
MBOAT1	1.0	0.13102089	G	0.016841136
FUT2	1.0	0.25469732	G	0.016841136
AL391069.3	1.0	0.044214923	G	0.016841136
STX17-AS1	1.0	0.11569352	G	0.016841136
PLCZ1	1.0	-0.057927642	G	0.016841136
AP003559.1	1.0	0.24236412	G	0.016841136
SNRK-AS1	1.0	0.08871688	G	0.016841136
AL591163.1	1.0	0.0942844	G	0.016831871
GRIN1	1.0	0.42257673	G	0.016831871
AC003991.1	1.0	0.93757087	G	0.016831871
AL390208.1	1.0	0.10203568	G	0.016831871
TENT5C	1.0	0.8323323	G	0.016831871
TMPRSS15	1.0	0.72575486	G	0.016831871
VSIR	1.0	-0.061491117	G	0.016831871
ITGA7	1.0	0.12641929	G	0.016831871
OR2F1	1.0	0.11413412	G	0.016822608
AC138028.6	1.0	0.020248529	G	0.016822608
PCA3	1.0	0.18515413	G	0.016822608
BSN-DT	1.0	0.18246281	G	0.016822608
AL445250.1	1.0	0.63286346	G	0.016813345
LINC01273	1.0	0.00808038	G	0.016813345
